"GU","R1","R2","R3","R4","concentration"
0.11413665889999998,0.11378233055268999,0.0,0.0,0.0,0.004607382980349586
0.022373862537999997,0.02219342927316354,0.0,0.0,0.0,0.0006576378344051991
0.0079537038,0.007874406465555827,0.0,0.0,0.0,0.00018501100151211962
0.0064590040000000026,0.006414781721756562,0.0,0.0,0.0,0.00012490397213154233
0.018439084,0.01831411426656177,0.0,0.0,0.0,0.0003019948413186971
0.009978705999999999,0.00990835239138686,0.0,0.0,0.0,0.0001420120051214155
0.007474895999999997,0.00741623338895896,0.0,0.0,0.0,9.462732585989723e-5
0.054806095000000006,0.05435094919356108,0.0,0.0,0.0,0.0015114012942919902
0.7777747600000001,0.7772207477101467,0.0,0.0,0.0,0.08339832952358495
1.2195638026000002,1.0076987137220073,0.0,0.0,0.0,0.04383186339403108
3.948463277,2.1653205371029878,0.0,0.0,0.0,0.11619538503736644
0.5831326246,0.4993234148316427,0.0,0.0,0.0,0.03158663890500802
1.1558213899999998,0.09886883077249256,0.0,0.0,0.0,0.008322661221292599
0.06777175397120001,0.053645594999264044,0.0,0.0,0.0,0.0017050428069322703
0.4131610409999999,0.3753344949288029,0.0,0.0,0.0,0.03012314969092292
0.006059745366,0.005777629328501807,0.0,0.0,0.0,0.0002054203603984668
0.19842986059999998,0.09794615576417155,0.0,0.0,0.0,0.0039050551310681634
0.31865453891,0.10141005537202229,0.0,0.0,0.0,0.011658301056083783
0.074691865,0.03605392699303382,0.0,0.0,0.0,0.0013277926690209334
0.0253631507,0.014291784034749655,0.0,0.0,0.0,0.0003136627901281855
0.025447717149999993,0.025001569472339,0.0,0.0,0.0,0.0019284426440195873
0.263106325,0.26145027517058256,0.0,0.0,0.0,0.009916660471504376
0.070563232899,0.04546483355713981,0.0,0.0,0.0,0.0024716336827282307
